plot,cultivars,treatment,reps,cut_1,cut_2,cut_3,Yield_annual,survivalRate,standCount_all
1,1,1,1,3582 ,2745 ,2754 ,9080.8 ,0.852 ,852
2,1,1,2,3332 ,2059 ,2852 ,8243.4 ,0.928 ,928
3,1,1,3,3296 ,2549 ,2803 ,8647.9 ,0.815 ,815
4,1,2,1,4245 ,2647 ,1475 ,8367.3 ,0.951 ,951
5,1,2,2,4510 ,3137 ,1967 ,9614.8 ,0.928 ,928
6,1,2,3,4705 ,2353 ,2459 ,9517.4 ,0.905 ,905
7,1,3,1,5385 ,5000 ,3738 ,14122.6 ,0.950 ,950
8,1,3,2,5482 ,4020 ,2951 ,12452.8 ,0.973 ,973
9,1,3,3,5736 ,3333 ,3443 ,12511.7 ,0.915 ,915
10,1,4,1,2355 ,1765 ,1574 ,5693.4 ,0.883 ,883
11,1,4,2,2480 ,1569 ,3836 ,7885.1 ,0.954 ,954
12,1,4,3,1978 ,1765 ,1967 ,5710.0 ,0.915 ,915
13,2,1,1,1884 ,2353 ,3541 ,7777.9 ,0.806 ,806
14,2,1,2,2405 ,2255 ,2557 ,7217.5 ,0.682 ,682
15,2,1,3,2262 ,2549 ,2754 ,7564.7 ,0.744 ,744
16,2,2,1,4127 ,5000 ,4230 ,13356.3 ,0.765 ,765
17,2,2,2,4648 ,4314 ,4426 ,13387.7 ,0.868 ,868
18,2,2,3,3915 ,3824 ,3541 ,11279.4 ,0.806 ,806
19,2,3,1,5587 ,3235 ,3934 ,12757.2 ,0.785 ,785
20,2,3,2,5424 ,3824 ,3541 ,12788.2 ,0.889 ,889
21,2,3,3,4940 ,4510 ,4328 ,13777.9 ,0.744 ,744
22,2,4,1,1002 ,980 ,4230 ,6211.9 ,0.764 ,764
23,2,4,2,1133 ,882 ,4230 ,6244.6 ,0.909 ,909
24,2,4,3,1096 ,1029 ,3443 ,5568.4 ,0.723 ,723
